Row,Line,StationNumber,StationCode,StationName,X,Y,Common Stations
58,B,15,B15, Midland Station,414.0411911,489.498764,
59,B,16,B16, Fairway Station,449.3300018,489.0463409,
60,B,17,B17, Oceanview Station,481.9976578,479.41465,
61,B,18,B18, Ashwood Station,512.645813,462.0935974,
62,B,19,B19, Westwood Station,545.8722076,450.197731,
63,B,20,B20, Southgate Station,579.0237579,438.1267319,
64,B,21,B21, Lakeside Station,610.5896912,422.3437653,
65,B,22,B22, Pine Grove Station,621.8465195,394.3707047,R25
66,B,23,B23, Willow Grove Station,620.9301529,359.0908585,"R24, G18"
67,B,24,B24, Riverside Station,620.6956635,323.8022003,R23
68,B,25,B25, Mill Creek Station,620.6956635,288.5105095,R22
69,B,26,B26, City Square Station,631.8874893,257.8545914,
70,B,27,B27, Forest Glen Station,656.842514,232.8995667,
71,B,28,B28, Skyline Station,690.2707825,226.7211113,
72,B,29,B29, Cedar Grove Station,725.4937897,224.5196686,
73,B,30,B30, Hillcrest Heights Station,748.8252411,199.9572525,
74,B,31,B31, Northfield Station,770.3430328,171.9841537,
75,B,32,B32, Bayshore Station,801.0562286,155.6140385,
76,B,33,B33, Greenway Station,834.5575104,146.3567219,
77,B,34,B34, University Heights Station,869.7518311,143.7358627,
78,B,35,B35, Stonegate Station,904.9591217,141.5768299,
79,B,36,B36, Cherry Hill Station,940.2451477,142.2069321,
80,B,37,B37, Broadmoor Station,975.5313263,142.8370438,
81,B,38,B38, Riverdale Station,1006.456848,132.9101143,
82,B,39,B39, Parkland Station,1022.509705,104.4178543,
83,B,40,B40, Central Heights Station,1023.998047,70.89162445,
84,B,41,B41, Redwood Heights Station,1052.367035,49.89854908,
85,B,42,B42, Brookfield Station,1084.555832,37.74857616,
86,B,43,B43, Elmwood Park Station,1119.212738,31.1694417,
87,B,44,B44, South Park Station,1153.083588,21.25602102,
88,G,01,G01, Midway Station,15.65205431,238.8804016,
89,G,02,G02, Fairmont Heights Station,51.47136784,240.6276855,
90,G,03,G03, Oceanfront Heights Station,87.27560616,242.5041733,
91,G,04,G04, Ashland Station,122.5346336,249.0522728,
92,G,05,G05, Westmont Station,157.4509201,256.9663391,
93,G,06,G06, Southview Station,191.6246376,267.8398094,
94,G,07,G07, Lakefront Station,225.7235489,278.9442787,
95,G,08,G08, City Heights Station,259.7823868,290.1724777,
96,G,09,G09, Forest Manor Station,294.0195427,300.8113251,
97,G,10,G10, Skyline Heights Station,328.5901794,310.3480492,
98,G,11,G11, Cedar Heights Station,363.2213745,319.6474419,
99,G,12,G12, Hillside Station,398.1300125,327.8612289,
100,G,13,G13, North Hills Station,433.1036911,335.6738434,
101,G,14,G14, Bayview Heights Station,468.8183365,338.9206085,
102,G,15,G15, Green Hills Heights Station,504.5329819,342.1673737,
103,G,16,G16, University Park Station,540.3852997,342.7768097,
104,G,17,G17, Stoneview Station,576.2338028,343.5640488,
105,G,18,G18, Willow Grove Station,612.0424423,345.5172501,"R24, B23"
106,G,19,G19, Cherrywood Heights Station,647.8978882,345.7541809,
107,G,20,G20, Riverfront Heights Station,683.7597809,345.7541809,
108,G,21,G21, Parkview Heights Station,719.6200714,346.0743484,
109,G,22,G22, Central Park Heights Station,755.4801331,346.4365921,
110,G,23,G23, Redwood Park Station,791.3053284,345.4774246,
111,G,24,G24, Brookhaven Heights Station,827.0961151,343.2203445,
112,G,25,G25, Elmwood Heights Station,862.8869019,340.9632645,
113,G,26,G26, Southside Heights Station,898.6648712,338.5135422,
114,G,27,G27, Midland Heights Station,934.4403992,336.0248337,
115,G,28,G28, Fairway Heights Station,970.2121887,333.4912643,
116,G,29,G29, Oceanview Heights Station,1005.928894,330.2668533,
117,G,30,G30, Ashwood Heights Station,1041.645523,327.0424423,
118,G,31,G31, Westwood Heights Station,1077.362152,323.8180313,
119,G,32,G32, Southgate Heights Station,1112.776199,318.4646187,
120,G,33,G33, Broadview Heights Station,1147.976395,311.6074142,
